contact_city,clean_city,count,map_city_tier1
"KUALA LUMPUR,","KUALA LUMPUR,",17.0,KUALA LUMPUR
SEGAMBUT,SEGAMBUT,10.0,KUALA LUMPUR
SETAPAK,SETAPAK,10.0,KUALA LUMPUR
WANGSA MAJU,WANGSA MAJU,6.0,KUALA LUMPUR
SENTUL,SENTUL,4.0,KUALA LUMPUR
KUAL LUMPUR,KUAL LUMPUR,3.0,KUALA LUMPUR
KUALA LIMPUR,KUALA LIMPUR,3.0,KUALA LUMPUR
JALAN IPOH,JALAN IPOH,2.0,KUALA LUMPUR
KUALA LUMOUR,KUALA LUMOUR,2.0,KUALA LUMPUR
KUALA LUMPER,KUALA LUMPER,2.0,KUALA LUMPUR
KUALA LUMPUR  (KL),KUALA LUMPUR (KL),2.0,KUALA LUMPUR
KUALA LUMPUR W. PERSEKUTUAN (KL),KUALA LUMPUR W. PERSEKUTUAN (KL),2.0,KUALA LUMPUR
KUALA LUMPUR.,KUALA LUMPUR.,2.0,KUALA LUMPUR
OFF JALAN KUCHAI LAMA,OFF JALAN KUCHAI LAMA,2.0,KUALA LUMPUR
OFF JALAN KUCHING,OFF JALAN KUCHING,2.0,KUALA LUMPUR
SENTUL PASAR,SENTUL PASAR,2.0,KUALA LUMPUR
TAMAN MELAWATI,TAMAN MELAWATI,2.0,KUALA LUMPUR
SUNGAI BESI,SUNGAI BESI,2.0,KUALA LUMPUR
BANDAR BARU SENTUL,BANDAR BARU SENTUL,1.0,KUALA LUMPUR
BUKIT SEGAMBUT,BUKIT SEGAMBUT,1.0,KUALA LUMPUR
DANAU KOTA SETAPAK,DANAU KOTA SETAPAK,1.0,KUALA LUMPUR
DESA MELAWATI,DESA MELAWATI,1.0,KUALA LUMPUR
JALAN CONLAY,JALAN CONLAY,1.0,KUALA LUMPUR
JALAN GOMBAK,JALAN GOMBAK,1.0,KUALA LUMPUR
JALAN KUCHING OFF JALAN DUTA,JALAN KUCHING OFF JALAN DUTA,1.0,KUALA LUMPUR
"KL,","KL,",1.0,KUALA LUMPUR
KUALA LUM,KUALA LUM,1.0,KUALA LUMPUR
"KUALA LUMPUR , W.PERSEKUTUAN","KUALA LUMPUR , W.PERSEKUTUAN",1.0,KUALA LUMPUR
KUALA LUMPUR WILLAYAH PERSEKUTUAN,KUALA LUMPUR WILLAYAH PERSEKUTUAN,1.0,KUALA LUMPUR
KUALA LUMPUR WPERSEKUTUAN,KUALA LUMPUR WPERSEKUTUAN,1.0,KUALA LUMPUR
KUALA LUMPUR WPERSEKUTUAN (KL),KUALA LUMPUR WPERSEKUTUAN (KL),1.0,KUALA LUMPUR
OFF JALAN IPOH,OFF JALAN IPOH,1.0,KUALA LUMPUR
SEGAMBUT DALAM,SEGAMBUT DALAM,1.0,KUALA LUMPUR
TAMAN BUKIT MALURI,TAMAN BUKIT MALURI,1.0,KUALA LUMPUR
TAMAN INTAN BAIDURI,TAMAN INTAN BAIDURI,1.0,KUALA LUMPUR
TAMAN MELATI UTAMA,TAMAN MELATI UTAMA,1.0,KUALA LUMPUR
TAMAN SRI BINTANG,TAMAN SRI BINTANG,1.0,KUALA LUMPUR
TAMAN SRI SINAR SEGAMBUT,TAMAN SRI SINAR SEGAMBUT,1.0,KUALA LUMPUR
"WANGSA MAJU,","WANGSA MAJU,",1.0,KUALA LUMPUR
WILAYAH PERSEKUTUAN KUALA LUMPUR,WILAYAH PERSEKUTUAN KUALA LUMPUR,1.0,KUALA LUMPUR
LAKEFIELDS SUNGAI BESI,LAKEFIELDS SUNGAI BESI,1.0,KUALA LUMPUR
MELAKA,MELAKA,13.0,MELAKA
SIMPANG AMPAT,SIMPANG AMPAT,4.0,MELAKA
ALOR GAJAH,ALOR GAJAH,1.0,MELAKA
BATU BERENDAM,BATU BERENDAM,1.0,MELAKA
CHENG BARU,CHENG BARU,1.0,MELAKA
HUTAN MELINTANG,HUTAN MELINTANG,1.0,MELAKA
KOTA LAKSAMANA,KOTA LAKSAMANA,1.0,MELAKA
TAMAN MALIM JAYA,TAMAN MALIM JAYA,1.0,MELAKA
TAMPIN,TAMPIN,1.0,MELAKA
TANJONG KELING,TANJONG KELING,1.0,MELAKA
SEREMBAN,SEREMBAN,33.0,N. SEMBILAN
NILAI,NILAI,9.0,N. SEMBILAN
PORT DICKSON,PORT DICKSON,8.0,N. SEMBILAN
SEPANG,SEPANG,6.0,N. SEMBILAN
MANTIN,MANTIN,3.0,N. SEMBILAN
TANJONG SEPAT,TANJONG SEPAT,3.0,N. SEMBILAN
RANTAU,RANTAU,2.0,N. SEMBILAN
BAHAU,BAHAU,1.0,N. SEMBILAN
"BANDAR SERI JEMPOL,","BANDAR SERI JEMPOL,",1.0,N. SEMBILAN
LABU,LABU,1.0,N. SEMBILAN
LUKUT,LUKUT,1.0,N. SEMBILAN
SEREMBAN 2,SEREMBAN 2,1.0,N. SEMBILAN
SUNGAI GADUT,SUNGAI GADUT,1.0,N. SEMBILAN
"TANJONG SEPAT,","TANJONG SEPAT,",1.0,N. SEMBILAN
TANJUNG SEPAT,TANJUNG SEPAT,1.0,N. SEMBILAN
Undefined,UNDEFINED,470.0,NOT APPLICABLE
China,CHINA,2.0,OTHER
ADGESTONE,ADGESTONE,1.0,OTHER
BEIJING,BEIJING,1.0,OTHER
KONEDOBU,KONEDOBU,1.0,OTHER
KOWLOON,KOWLOON,1.0,OTHER
LONDON,LONDON,1.0,OTHER
MONGKOK KOWLOON,MONGKOK KOWLOON,1.0,OTHER
NEW TERRITORIES,NEW TERRITORIES,1.0,OTHER
SHENZHEN,SHENZHEN,1.0,OTHER
SHENZHENG,SHENZHENG,1.0,OTHER
SHEUNG WAN,SHEUNG WAN,1.0,OTHER
SHIBUYA-KU,SHIBUYA-KU,1.0,OTHER
SICHUAN,SICHUAN,1.0,OTHER
TAIPEI,TAIPEI,1.0,OTHER
USA,USA,1.0,OTHER
DHAKA CANTONMENT,DHAKA CANTONMENT,1.0,OTHER
HO CHI MINH CITY,HO CHI MINH CITY,1.0,OTHER
HSIN CHU COUNTY,HSIN CHU COUNTY,1.0,OTHER
INDONESIA,INDONESIA,1.0,OTHER
JAKARTA,JAKARTA,1.0,OTHER
KUANTAN,KUANTAN,6.0,PAHANG
PAHANG,PAHANG,3.0,PAHANG
MENTAKAB,MENTAKAB,2.0,PAHANG
RAUB,RAUB,2.0,PAHANG
TRIANG,TRIANG,2.0,PAHANG
BANDAR BERA,BANDAR BERA,1.0,PAHANG
BENTONG,BENTONG,1.0,PAHANG
JERANTUT,JERANTUT,1.0,PAHANG
"KUANTAN,","KUANTAN,",1.0,PAHANG
MARAN,MARAN,1.0,PAHANG
PADANG TENGKU,PADANG TENGKU,1.0,PAHANG
TEMERLOH,TEMERLOH,1.0,PAHANG
BUTTERWORTH,BUTTERWORTH,9.0,PENANG
BUKIT MERTAJAM,BUKIT MERTAJAM,7.0,PENANG
SUNGAI PETANI,SUNGAI PETANI,7.0,PENANG
BAYAN LEPAS,BAYAN LEPAS,3.0,PENANG
GELUGOR,GELUGOR,3.0,PENANG
GEORGETOWN,GEORGETOWN,3.0,PENANG
KEPALA BATAS,KEPALA BATAS,2.0,PENANG
"BUKIT MERTAJAM,","BUKIT MERTAJAM,",1.0,PENANG
NIBONG TEBAL,NIBONG TEBAL,1.0,PENANG
PERAI,PERAI,1.0,PENANG
PULAU PINANG,PULAU PINANG,1.0,PENANG
TANJUNG BUNGAH,TANJUNG BUNGAH,1.0,PENANG
IPOH,IPOH,21.0,PERAK
TELUK INTAN,TELUK INTAN,6.0,PERAK
KAMPAR,KAMPAR,5.0,PERAK
MENGLEMBU,MENGLEMBU,5.0,PERAK
TAIPING,TAIPING,5.0,PERAK
TANJUNG MALIM,TANJUNG MALIM,5.0,PERAK
BIDOR,BIDOR,4.0,PERAK
AYER TAWAR,AYER TAWAR,3.0,PERAK
"IPOH,","IPOH,",3.0,PERAK
KUALA KANGSAR,KUALA KANGSAR,3.0,PERAK
LUMUT,LUMUT,3.0,PERAK
SETIAWAN,SETIAWAN,3.0,PERAK
SITIAWAN,SITIAWAN,3.0,PERAK
BAGAN DATOH,BAGAN DATOH,1.0,PERAK
BATU GAJAH,BATU GAJAH,1.0,PERAK
C HIGHLANDS,C HIGHLANDS,1.0,PERAK
CHEMOR,CHEMOR,1.0,PERAK
KG GAJAH,KG GAJAH,1.0,PERAK
LAHAT,LAHAT,1.0,PERAK
PANTAI REMIS,PANTAI REMIS,1.0,PERAK
PARIT,PARIT,1.0,PERAK
PERAK,PERAK,1.0,PERAK
SG SIPUT (U),SG SIPUT (U),1.0,PERAK
SLIM RIVER,SLIM RIVER,1.0,PERAK
TAPAH,TAPAH,1.0,PERAK
"TELUK INTAN,","TELUK INTAN,",1.0,PERAK
"TG, PIANDANG","TG, PIANDANG",1.0,PERAK
ULU KINTA,ULU KINTA,1.0,PERAK
KANGAR,KANGAR,1.0,KEDAH/PERLIS
PETALING JAYA,PETALING JAYA,306.0,PETALING JAYA
"PETALING JAYA,","PETALING JAYA,",41.0,PETALING JAYA
KOTA DAMANSARA,KOTA DAMANSARA,4.0,PETALING JAYA
BANGSAR,BANGSAR,3.0,PETALING JAYA
DAMANSARA,DAMANSARA,3.0,PETALING JAYA
DAMANSARA DAMAI,DAMANSARA DAMAI,3.0,PETALING JAYA
TTDI KUALA LUMPUR,TTDI KUALA LUMPUR,2.0,PETALING JAYA
KELANA JAYA,KELANA JAYA,2.0,PETALING JAYA
PEATALING JAYA,PEATALING JAYA,2.0,PETALING JAYA
JALAN PANTAI DALAM,JALAN PANTAI DALAM,1.0,PETALING JAYA
PANTAI HILLPARK,PANTAI HILLPARK,1.0,PETALING JAYA
ARA DAMANSARA,ARA DAMANSARA,1.0,PETALING JAYA
BUKIT DAMANSARA,BUKIT DAMANSARA,1.0,PETALING JAYA
"DAMANSARA DAMAI,","DAMANSARA DAMAI,",1.0,PETALING JAYA
DAMANSARA HEIGHTS,DAMANSARA HEIGHTS,1.0,PETALING JAYA
"DAMANSARA HEIGHTS,","DAMANSARA HEIGHTS,",1.0,PETALING JAYA
DAMANSARA JAYA,DAMANSARA JAYA,1.0,PETALING JAYA
