iter	Passed	Remaining
378	1066	1747
379	1069	1744
380	1072	1741
381	1074	1738
382	1077	1735
383	1080	1732
384	1082	1729
385	1085	1726
386	1088	1724
387	1091	1721
388	1093	1718
389	1096	1715
390	1099	1712
391	1102	1709
392	1104	1706
393	1107	1703
394	1110	1700
395	1113	1697
396	1115	1694
397	1118	1691
398	1121	1688
399	1123	1685
400	1126	1682
401	1129	1679
402	1131	1676
403	1134	1673
404	1136	1670
405	1139	1667
406	1142	1664
407	1144	1661
408	1147	1658
409	1151	1656
410	1154	1653
411	1156	1649
412	1159	1647
413	1166	1650
414	1173	1654
415	1182	1659
416	1187	1659
417	1189	1656
418	1192	1653
419	1195	1650
420	1198	1647
421	1200	1644
422	1203	1641
423	1206	1638
424	1208	1635
425	1211	1632
426	1214	1629
427	1216	1626
428	1219	1623
429	1220	1618
430	1223	1615
431	1226	1612
432	1228	1609
433	1231	1605
434	1234	1602
435	1236	1599
436	1239	1596
437	1242	1593
438	1244	1590
439	1247	1587
440	1250	1584
441	1252	1581
