contact_nric_masked,probability (threshold = 0.6),predicted label
-1106975246261678530,0.13088700547281423,0
-1107097911534847293,0.43666347905625286,0
-1107098877684229400,0.6936305391139507,1
-1107220198465466675,0.656753153164587,1
-1107411021704841394,0.4097092736174351,0
-1107851418344074261,0.2928074619172261,0
-1107916047699601190,0.6229935073494918,1
-1108295551256798511,0.7481682920725526,1
-1108295551256798511,0.5617121973774458,1
-1109618676905569703,0.5166128949809362,1
-1110148394737783770,0.2339534749914104,0
-1110890782241440552,0.39925259400999263,0
-1110995552312872932,0.45397072099194186,0
-1111090494674912466,0.7308619063067803,1
-1111168839321590635,0.35382828031344793,0
-1111186478783476649,0.3510623058820938,0
-1111186478783476649,0.410215598114753,0
-1113332134348877298,0.5165980270272982,1
-1113529552341762335,0.5619009017983317,1
-1113529552341762335,0.3863483909403233,0
-1113529552341762335,0.3007357909201353,0
-1114873486112279833,0.851066487489926,1
-1115624944072263969,0.5570560492276925,1
-1117155130227055658,0.648008466814287,1
-1117319468684964151,0.646659772203609,1
-1117319468684964151,0.9069776584582669,1
-1117639096318274027,0.6090564896545003,1
-1118263395979873497,0.8374762132271598,1
-1118263395979873497,0.7083519845099002,1
-1118948350041777326,0.6944327820081562,1
-1119095885493507806,0.6624111725946544,1
-1119420906262116923,0.7214665516416355,1
-1120125187520818659,0.5929599578050601,1
-1122324129307257310,0.533309322877273,1
-1122324129307257310,0.32843298262454323,0
-1122757548492017273,0.3301026950521467,0
-1123220631595476580,0.3024734953507012,0
-1123655144920987852,0.5906618650719843,1
-1123702929800761336,0.44600955899439426,0
-1123795811971211973,0.37690238986435914,0
-1125739020094084837,0.5086798849329504,1
-1126455207134445012,0.41234567124007926,0
-1127197137031034579,0.5821927827363361,1
-1127458362790241431,0.7097711331557138,1
-1128195545481042931,0.7693601510157327,1
-1128263007492182166,0.28053175097645516,0
-1128637450255922459,0.6974163747381072,1
-1128815851134142596,0.4644300539745117,0
-1128930934199427978,0.6965706552448504,1
